year,month,day,individualCount,stateProvince,decimalLongitude,decimalLatitude
2021,10,28,1,Victoria,145.42314,-38.31207
2021,1,19,1,Victoria,146.44831,-38.33452
2021,1,14,1,Victoria,148.12427,-37.26588
2021,12,8,1,Victoria,145.41847,-38.32671
2020,4,21,1,Victoria,146.33921,-38.61984
2023,1,21,1,Victoria,143.72057,-37.24717
2023,7,17,1,Victoria,144.26847,-37.26566
2022,5,10,1,Victoria,145.29438,-38.31324
2020,12,23,1,Victoria,147.26946,-38.24381
2020,12,18,1,Victoria,145.93472,-36.90028
2023,1,6,1,Victoria,144.28335,-37.44579
2021,1,20,1,Victoria,143.5582,-38.8459
2020,1,11,1,Victoria,146.13925,-38.36314
2022,1,20,1,Victoria,144.29949,-37.32623
2022,12,21,1,Victoria,144.22895,-37.39083
2020,11,13,1,Victoria,146.26048,-38.29712
2021,9,7,1,Victoria,145.69582,-37.8312
2022,4,13,1,Victoria,144.32917,-37.39889
2022,12,7,1,Victoria,144.24607,-37.44235
2022,11,23,1,Victoria,145.16406,-37.16198
2022,4,6,1,Victoria,144.27898,-37.37651
2022,5,11,1,Victoria,145.29437,-38.31331
2020,9,29,1,Victoria,143.93952,-38.57641
2021,10,18,1,Victoria,145.29337,-38.33545
2022,1,16,1,Victoria,143.25645,-37.29108
2021,9,11,1,Victoria,147.47051,-38.10298
2023,1,6,1,Victoria,144.18716,-37.46319
2022,6,20,1,Victoria,145.42313,-38.31192
2023,2,13,1,Victoria,143.47901,-38.54308
2021,12,3,1,Victoria,145.41868,-38.32681
2021,3,9,1,Victoria,146.28181,-38.29993
2022,11,23,1,Victoria,144.17753,-37.42414
2020,1,5,1,Victoria,146.13137,-38.35869
2020,3,27,1,Victoria,146.94349,-38.44596
2022,4,12,1,Victoria,146.92597,-38.42054
2023,3,8,1,Victoria,143.48071,-38.56708
2022,10,5,1,Victoria,141.62142,-38.01084
2023,3,7,1,Victoria,145.75434,-37.85886
2023,6,9,1,Victoria,143.82973,-37.73034
2022,11,28,1,Victoria,144.27251,-37.46698
2022,11,23,1,Victoria,144.17656,-37.42323
2022,12,13,1,Victoria,144.21249,-37.38251
2023,2,10,1,Victoria,144.09181,-37.47616
2022,3,17,1,Victoria,144.24602,-37.36987
2021,6,18,1,Victoria,146.64296,-38.41888
2022,12,1,1,Victoria,144.3064,-37.32371
2022,1,20,5,Australian Capital Territory,148.91,-35.46
2020,6,21,1,Victoria,145.27641,-38.1374
2021,6,30,1,Victoria,148.57185,-36.9945
2022,1,15,1,Victoria,143.27946,-37.33101
2022,5,2,1,Victoria,148.30312,-37.27575
2021,9,13,1,Victoria,145.65933,-37.88052
2023,2,13,1,Victoria,145.98441,-37.8833
2021,4,6,1,Victoria,146.77528,-38.48008
2021,11,26,1,Victoria,145.48333,-38.33792
2020,11,4,1,Victoria,147.48638,-37.67591
2022,11,16,1,Victoria,144.21155,-37.44074
2020,5,12,1,Victoria,145.58181,-37.29951
2022,3,23,1,Victoria,146.39789,-38.02788
2022,4,13,1,Victoria,145.68926,-37.83417
2020,9,2,1,Victoria,145.68993,-37.58257
2021,1,19,1,Victoria,146.44841,-38.3267
2023,8,15,1,Victoria,147.49538,-37.6642
2020,12,5,4,Victoria,143.75752,-38.55212
2020,3,27,1,Victoria,146.98235,-38.33125
2023,3,8,1,Victoria,143.48848,-38.5637
2020,6,13,1,Victoria,145.27092,-38.1367
2023,2,9,1,Victoria,144.11426,-37.44695
2021,7,9,1,Victoria,145.49707,-38.34938
2021,9,1,1,Victoria,145.29438,-38.31301
2023,2,10,1,Victoria,144.08447,-37.47477
2021,11,10,1,Victoria,143.72115,-38.55454
2020,11,26,1,Victoria,146.99047,-38.20261
2020,1,17,1,Victoria,146.17625,-38.36192
2022,11,25,4,Queensland,153.35641,-27.93914
2021,8,18,1,Victoria,145.30954,-38.2963
2021,6,6,1,Victoria,148.33573,-37.07237
2020,10,22,1,Victoria,144.3006,-37.4885
2020,5,22,1,Victoria,145.59794,-37.95795
2020,11,26,1,Victoria,145.70708,-37.78672
2020,6,24,1,Victoria,147.03468,-38.39186
2022,10,13,1,Victoria,141.20415,-38.05193
2022,7,2,1,Victoria,145.28764,-38.32102
2021,3,9,1,Victoria,147.54437,-38.0749
2021,5,6,1,Victoria,144.12263,-37.9007
2023,4,2,1,Victoria,141.60459,-38.33997
2022,10,13,1,Victoria,141.01048,-38.02716
2022,10,4,1,Victoria,141.55467,-37.98443
2022,6,25,1,Victoria,145.29437,-38.31328
2021,11,28,1,Victoria,145.436,-38.31357
2022,11,8,1,Victoria,145.69513,-37.89757
2022,3,1,1,Victoria,145.67996,-37.81151
2020,5,17,1,Victoria,146.31758,-38.51399
2022,10,6,1,Victoria,141.51689,-37.92349
2020,6,30,1,Victoria,146.95334,-38.43487
2020,3,30,1,Victoria,146.24733,-38.23097
2023,2,19,4,Queensland,153.37666,-28.0986
2020,1,5,1,Victoria,146.14166,-38.36862
2020,4,27,1,Victoria,145.59794,-37.95795
2022,12,8,1,Victoria,144.24095,-37.3657
2023,12,5,1,Victoria,143.26147,-37.07956
2020,12,9,1,Victoria,146.28518,-36.95386
2020,4,17,1,Victoria,146.22835,-38.56586
2021,1,18,1,Victoria,145.68932,-37.83508
2020,5,17,1,Victoria,146.31212,-38.50914
2021,12,16,1,Victoria,148.32553,-37.29356
2020,12,23,1,Victoria,147.15509,-38.24438
2022,4,13,1,Victoria,145.68916,-37.83423
2021,11,1,1,Victoria,145.29321,-38.28592
2023,6,17,1,Victoria,145.38333,-37.48291
2020,12,23,1,Victoria,147.21514,-38.28339
2020,12,8,1,Victoria,147.04023,-38.48475
2022,10,13,1,Victoria,141.15797,-38.0534
2022,5,2,1,Victoria,145.64015,-37.33524
2022,8,23,1,Victoria,146.14842,-37.91635
2022,10,4,1,Victoria,141.58379,-38.00952
